"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Edges sheets every eggy when WWII will which whew hagan ababa 
Whew show swipe what two white wiki shaggy wife's garage gaga web 
Isis usual",FALSE,0,NA,2016-01-31 21:09:46,FALSE,NA,"693904027076161536",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","apedrogo23",0,FALSE,FALSE,"-72.694883","41.762268"
"2","@SaveRome agreed, but i don't believe groups like ISIS respect any military, even one serving as ""Monuments Men"". they'd come under fire.",FALSE,0,"SaveRome",2016-01-29 15:28:31,FALSE,"692999160593801216","693093371628380160","22463885","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","roughtradeX",0,FALSE,FALSE,"-75.2113213","39.9534394"
"3","@linnyitssn and ISIS soldiers all start puttin on makeup to look like Kelly clones.",FALSE,2,"linnyitssn",2016-01-28 00:05:08,FALSE,"692494436304080896","692498606276886531","228554424","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","roughtradeX",0,FALSE,FALSE,"-75.2106168","39.9454261"
"4","RT @T_S_P_O_O_K_Y: About to join teamcavuto on foxnews to discuss ISIS @ News Corp https://t.co/8UqBmOu74g",FALSE,0,NA,2016-01-26 21:31:45,FALSE,NA,"692097618793537536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bwdreyer",1,TRUE,FALSE,NA,NA
"5","About to join teamcavuto on foxnews to discuss ISIS @ News Corp https://t.co/8UqBmOu74g",FALSE,5,NA,2016-01-26 21:09:30,FALSE,NA,"692092018244370433",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","T_S_P_O_O_K_Y",1,FALSE,FALSE,"-73.98205115","40.75867543"
"6","@CCheun I agree. Have we learned nothing from killing saddam. He was horrible- but protected christians-Isis destroyed 2000yr old sites",FALSE,1,"CCheun",2016-01-26 16:39:26,FALSE,"691960627334553601","692024053528424452","610798597","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LgLgarris62",0,FALSE,FALSE,"-74.7029613","39.8935969"
"7","ISIS planning 'Mumbai-style' attacks on more European targets, police warn | Fox News |  https://t.co/ajykVrKSE9",FALSE,0,NA,2016-01-26 07:02:20,FALSE,NA,"691878821163835393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dominickambro",0,FALSE,FALSE,"-75.0535964","40.02981"
"8","British PM Accuses Republican Frontrunner Of Helping Isis https://t.co/80jYotCmvu via @HuffPostUKPol",FALSE,0,NA,2016-01-23 19:04:10,FALSE,NA,"690973315041759232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LatinoCharles",0,FALSE,FALSE,"-73.8694263","40.9623446"
