"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Edges sheets every eggy when WWII will which whew hagan ababa 
Whew show swipe what two white wiki shaggy wife's garage gaga web 
Isis usual",FALSE,0,NA,2016-01-31 21:09:46,FALSE,NA,"693904027076161536",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","apedrogo23",0,FALSE,FALSE,"-72.694883","41.762268"
"2","Isis in her casual shoes... isisalis #gold #brogues #shoes @ White Heron Tea https://t.co/m4O3NW0mDi",FALSE,0,NA,2016-01-30 20:15:11,FALSE,NA,"693527899782123521",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","dharmarascal",0,FALSE,FALSE,"-70.770866","43.071251"
"3","@MicheleBachmann cast a spell on #ISIS for us. Thanks",FALSE,0,"MicheleBachmann",2016-01-26 01:53:42,FALSE,"691800239523635202","691801153819054080","18217624","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","MikeOSheaPJ",0,FALSE,FALSE,"-70.94774946","41.87387387"
"4","@realDonaldTrump We can't let #ISIS recruiters steal our Children, we need to show them a better way. https://t.co/tIGl881CSY",FALSE,0,"realDonaldTrump",2016-01-24 19:30:28,FALSE,NA,"691342322664083456","25073877","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JudyBaldasaro",0,FALSE,FALSE,"-71.4041265","42.908346"
