"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@Stellina_25 So many countries (Syria, Turkey, Iraq and Iran) are terrified of these women. Oh yeah so is ISIS",FALSE,2,"Stellina_25",2016-01-31 06:24:01,FALSE,"693134023145553920","693681118806196224","3085716154","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","PatrickArnold6",0,FALSE,FALSE,"-85.8917869","42.22978672"
"2","Hey ISIS fuck you cowards. @ Lockport, Illinois https://t.co/AjtAtocCKf",FALSE,0,NA,2016-01-28 23:40:58,FALSE,NA,"692854913680875520",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Joshweiske",0,FALSE,FALSE,"-88.0473","41.5887"
"3","Shocking Planned Parenthood Injustice in Texas | Fix This Nation .com https://t.co/rke5SCnruv have to stop these PP atrocities.",FALSE,0,NA,2016-01-28 14:07:43,FALSE,NA,"692710647805689856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kathyanndiaz",0,FALSE,FALSE,"-87.7700663","41.9703484"
"4","@amberinzaman So Kurds have to fight ISIS and there own government with no help?",FALSE,0,"amberinzaman",2016-01-27 05:10:47,FALSE,"692211146087124992","692213136871522304","75293774","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","PatrickArnold6",0,FALSE,FALSE,"-85.89184809","42.22969049"
"5","@aaronstein1 @mishfo The are also fighting ISIS aren't they?",FALSE,1,"aaronstein1",2016-01-27 05:05:59,FALSE,"692024272768929792","692211930883346433","51837382","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","PatrickArnold6",0,FALSE,FALSE,"-85.89184809","42.22969049"
