"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","RT @Bites_his_Nails: If ISIS got hit with Ebola, the bleeding heart British tree huggers would still send medical staff to help",FALSE,0,NA,2016-01-27 20:17:48,FALSE,NA,"692441397518016512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","craigkendrick",5,TRUE,FALSE,NA,NA
"19","RT @Bites_his_Nails: If ISIS got hit with Ebola, the bleeding heart British tree huggers would still send medical staff to help",FALSE,0,NA,2016-01-27 18:55:13,FALSE,NA,"692420611570794496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NotSoBigBrother",5,TRUE,FALSE,NA,NA
"20","RT @Bites_his_Nails: If ISIS got hit with Ebola, the bleeding heart British tree huggers would still send medical staff to help",FALSE,0,NA,2016-01-27 18:52:41,FALSE,NA,"692419974036615168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bigfellaefc",5,TRUE,FALSE,NA,NA
"21","RT @Bites_his_Nails: If ISIS got hit with Ebola, the bleeding heart British tree huggers would still send medical staff to help",FALSE,0,NA,2016-01-27 18:51:26,FALSE,NA,"692419660944392193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EfcSP",5,TRUE,FALSE,NA,NA
"22","If ISIS got hit with Ebola, the bleeding heart British tree huggers would still send medical staff to help",FALSE,3,NA,2016-01-27 18:36:31,FALSE,NA,"692415908682285056",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Bites_his_Nails",5,FALSE,FALSE,"-1.16909693","52.263171"
"23","I can say what I like about ISIS, they cant come after me because they deny my existence",FALSE,0,NA,2016-01-26 17:47:08,FALSE,NA,"692041092078911488",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Bites_his_Nails",0,FALSE,FALSE,"-1.16909246","52.26316774"
"24","@red13charlie No ! God, what would you describe the IRA, Hamas and Hezbollah as? Man wants to negotiate with ISIS! Insanity",FALSE,0,"red13charlie",2016-01-26 11:52:01,FALSE,"691949641672318976","691951725452906496","56978179","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Purfleetjohn",0,FALSE,FALSE,"0.314024","51.489914"
"25","@LeahR77 from a democracy their dumb ideas instead of going to an Isis held area &amp; doing the same thing! They wouldn't get more than 1mm.",FALSE,0,"LeahR77",2016-01-26 05:11:15,FALSE,"691804869485813761","691850868367478784","393190233","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","chrispereira1",0,FALSE,FALSE,"-0.06078792","51.55027042"
"26","I hear Isis are going to give Cameron a kicking, do we think they'll queue behind everyone else?",FALSE,0,NA,2016-01-25 20:47:23,FALSE,NA,"691724066399637504",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Bites_his_Nails",0,FALSE,FALSE,"-1.16916023","52.26326169"
"27","Had a nightmare last night that ISIS attacked us and took my family hostage but then we became mates with them so they let us go",FALSE,2,NA,2016-01-24 10:54:36,FALSE,NA,"691212498154950657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WhaatDaKell",0,FALSE,FALSE,"-1.04435017","52.67725782"
