"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Closed Homeless Concerns request at Intersection of 13th St &amp; Isis St https://t.co/kF8mXE4aSX. Case closed. case completed. resolved: 10/98.",FALSE,0,NA,2016-01-30 03:47:41,FALSE,NA,"693279390348652544",NA,"<a href=""http://spotreporters.com"" rel=""nofollow"">Spot Reporters Server</a>","SF311Reports",0,FALSE,FALSE,"-122.414697","37.769695"
"2","@occupyhr_ @KatyTurNBC Olivia today Isis is taking over Hilary death follows her she would be the worst choice president ever not one chance",FALSE,0,"occupyhr_",2016-01-29 00:52:07,FALSE,"692002312814854144","692872818296430593","20370320","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","russell5252",0,FALSE,FALSE,"-122.4102389","37.7850513"
"3","@occupyhr_ @KatyTurNBC Isis is in Libya today that was her responsibility and her idea nation building death follows her",FALSE,0,"occupyhr_",2016-01-29 00:50:15,FALSE,"692002312814854144","692872350618902531","20370320","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","russell5252",0,FALSE,FALSE,"-122.4102054","37.78502"
"4","@occupyhr_ @KatyTurNBC I' ready to watch 13 hours again did you see that Isis is taking over Libya that is her responsibility like it or not",FALSE,0,"occupyhr_",2016-01-29 00:49:44,FALSE,"692002312814854144","692872218854821889","20370320","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","russell5252",0,FALSE,FALSE,"-122.4103017","37.7850652"
"5","RT @JeanneFischer33: ""@Anomaly100: If ISIS did what Gov. Rick Snyder did...

#FlintWaterCrisis https://t.co/ucDil7zqu7"" @Morning_Joe",FALSE,0,NA,2016-01-25 11:42:34,FALSE,NA,"691586958288560129",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","LillyCollette",9,TRUE,FALSE,NA,NA
"6","Closed Street or Sidewalk Cleaning request at Intersection of 13th St &amp; Isis St https://t.co/DSssYEPKHP. Case closed. case resolved.",FALSE,0,NA,2016-01-24 17:29:12,FALSE,NA,"691311801619730432",NA,"<a href=""http://spotreporters.com"" rel=""nofollow"">Spot Reporters Server</a>","SF311Reports",0,FALSE,FALSE,"-122.414721","37.76939532"
